VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,2757,22.38,29.99,267768,5992647.84,115308,3462124.92,836487.38,211863.69,257032.07,-2530522.92,-73.09161218827424,0.4306265125033611,0.5777287456958259
480,BACARDI USA INC,2663,21.42,29.99,276004,5912005.68,132135,4135548.65,943421.83,242779.27,89286.27,-1776457.0299999998,-42.95577637564485,0.47874306169475805,0.6995170292190924
10000,MAJESTIC FINE WINES,6570,6.77,10.99,862672,5840289.4399999995,399277,4360317.55,360706.45,44884.5,17587.59,-1479971.8899999997,-33.941837332466754,0.46283755587291575,0.7465927151035172
9165,ULTRA BEVERAGE COMPANY LLP,3650,33.81,48.99,171804,5808693.24,78375,3778819.25,1251987.9100000001,61706.05,68054.7,-2029873.9900000002,-53.717149609630056,0.4561884473004121,0.65054550031635
3960,DIAGEO NORTH AMERICA INC,2753,44.77,59.99,126384,5658211.68,52193,3205074.07,947394.06,95905.08,257032.07,-2453137.61,-76.53918619110104,0.41297157868084566,0.566446476601243
17035,PERNOD RICARD USA,5364,23.07,29.99,242580,5596320.6,110545,3420080.55,956177.8899999999,203103.38999999998,123780.22,-2176240.05,-63.63125131658083,0.45570533432269766,0.6111302040129724
3960,DIAGEO NORTH AMERICA INC,8082,21.73,33.99,256996,5584523.08,113547,3648541.53,935227.84,208627.9,257032.07,-1935981.5500000003,-53.06179288577264,0.44182399726065774,0.6533309071756939
3960,DIAGEO NORTH AMERICA INC,8680,28.879999999999995,39.99,190184,5492513.92,88610,3497773.9,1130710.74,162806.66,257032.07,-1994740.02,-57.02884397416311,0.4659172170108947,0.6368256778127565
3960,DIAGEO NORTH AMERICA INC,4260,16.66,21.99,316312,5269757.92,158084,3271333.16,242130.49999999997,290469.9,257032.07,-1998424.7599999998,-61.08900140271864,0.49977237664078505,0.6207748457636931
480,BACARDI USA INC,3348,22.38,29.99,229396,5133882.48,107713,3350952.87,874261.21,197909.35,89286.27,-1782929.6100000003,-53.20664536830685,0.46955047167343805,0.6527132015690393
480,BACARDI USA INC,3857,38.27,49.99000000000001,133552,5111035.04,61262,3167985.38,1111538.93,112563.66,89286.27,-1943049.6600000001,-61.333921307427254,0.45871271115370793,0.6198324517845606
8664,"STOLI GROUP,(USA) LLC",8112,19.52,24.990000000000002,247744,4835962.88,114839,2868568.61,744333.72,210994.72,18544.49,-1967394.27,-68.58452899266719,0.46353897571686903,0.5931742408246111
480,BACARDI USA INC,126,20.140000000000004,32.99,239512,4823771.68,109937,3292859.63,553385.67,115433.85,89286.27,-1530912.0499999998,-46.49187095776688,0.4590041417549016,0.6826317347590548
12546,JIM BEAM BRANDS COMPANY,3512,11.76,16.99,405920,4773619.2,187412,3081413.88,583410.3099999999,344338.18,123880.97,-1692205.3200000003,-54.916521632595504,0.46169688608592824,0.6455089421460346
